date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:50	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://padmamurali108.wixsite.com/robots.txt		(from )
18:21:51	451532/451532	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202021%2012:51:49%20GMT	https://padmamurali108.wixsite.com/home	C:/My%20Web%20Sites/chargebee/chargebee/padmamurali108.wixsite.com/home.html	(from )
18:21:52	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/chargebee/chargebee/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://padmamurali108.wixsite.com/home)
18:21:52	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/chargebee/chargebee/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://padmamurali108.wixsite.com/home)
18:21:53	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2021%20Apr%202021%2023:45:45%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/chargebee/chargebee/polyfill.io/v3/polyfill.mind82c.js	(from https://padmamurali108.wixsite.com/home)
18:21:53	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jul%202021%2012:51:53%20GMT	https://padmamurali108.wixsite.com/home/decodeURIComponent(e	C:/My%20Web%20Sites/chargebee/chargebee/padmamurali108.wixsite.com/home/decodeURIComponent(e	(from https://padmamurali108.wixsite.com/home)
18:21:53	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/My%20Web%20Sites/chargebee/chargebee/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://padmamurali108.wixsite.com/home)
18:21:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jul%202021%2012:51:53%20GMT	https://padmamurali108.wixsite.com/home/https:	C:/My%20Web%20Sites/chargebee/chargebee/padmamurali108.wixsite.com/home/https_	(from https://padmamurali108.wixsite.com/home)
18:21:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jul%202021%2012:51:54%20GMT	https://padmamurali108.wixsite.com/home/robots.txt	C:/My%20Web%20Sites/chargebee/chargebee/padmamurali108.wixsite.com/home/robots.txt	(from https://padmamurali108.wixsite.com/home)
18:21:55	448/448	---M--	200	added ('OK')	text/xml	date:Sun,%2018%20Jul%202021%2012:51:55%20GMT	https://padmamurali108.wixsite.com/home/sitemap.xml	C:/My%20Web%20Sites/chargebee/chargebee/padmamurali108.wixsite.com/home/sitemap.xml	(from https://padmamurali108.wixsite.com/home)
